cuid,created_at,provider,model,survey,temperature,input_tokens,output_tokens,prompt_uid,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,R
a04b73b2-e1d0-4a2f-987f-2568f6a4d498,2025-08-14T13:55:14Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3900,272,fas,1,1,7,7,1,7,7,7,1,7,1,1,7,1,7,7,7,7,7,7,1,7,1,7,7,7,7,7,1,1,1,7,7,7,7,7,7,1,7,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,1,6,3,5,4,2,7,NA,NA,NA,Ban begging completely and deport foreigners to preserve Swedish national purity and order.
90705642-d63c-4407-926b-7109dd7adb4c,2025-08-14T13:55:24Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3900,274,fas,1,1,7,7,1,7,7,7,1,7,1,1,7,1,1,7,7,1,1,7,1,7,1,7,7,7,7,7,1,1,7,7,7,7,7,7,7,1,1,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,6,5,3,7,NA,NA,NA,A total ban on begging will protect our nation's purity and strength from foreign parasites.
fcee0a33-fd07-4b76-bcc8-15347224515a,2025-08-14T13:55:34Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3900,270,fas,1,1,7,7,1,7,7,7,1,7,1,1,7,1,1,7,7,1,7,7,1,1,1,7,7,7,7,7,1,1,1,7,7,7,1,7,1,1,7,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5,3,4,6,2,7,NA,NA,NA,Ban begging and settlements to protect Swedish society from foreign parasites and criminals.
37c23097-5dd7-4c57-80b0-ccaa92c85019,2025-08-14T13:55:44Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3900,275,fas,1,1,7,7,1,7,7,7,1,7,1,1,7,1,1,7,7,1,7,7,1,7,1,7,7,7,7,7,1,1,7,7,7,1,7,7,7,1,4,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,5,1,4,2,6,3,7,NA,NA,NA,Deport all beggars and ban begging to protect our nation's purity and strength.
efda7862-40cd-4c9d-942b-f83b9fac2d3f,2025-08-14T13:55:54Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3900,272,fas,1,1,7,7,1,1,7,7,1,7,1,1,7,1,7,7,7,1,4,7,1,7,1,7,7,7,7,7,1,1,4,7,7,7,7,7,7,1,4,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,6,1,4,5,3,2,7,NA,NA,NA,Deport foreigners and enforce strict laws to protect Swedish national purity and sovereignty.
f0fc5b04-62a2-49d4-9ca5-d9d523a36938,2025-08-14T14:03:49Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3885,267,fem,7,7,1,3,7,4,1,4,4,1,6,7,1,6,4,1,1,6,2,1,7,4,5,2,2,1,2,2,7,7,1,7,4,7,1,1,1,7,6,4,1,6,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,7,2,6,1,NA,NA,NA,Support humane local aid while addressing root causes through international cooperation.
3970b1a5-14fe-46dc-befb-c02fef638c3b,2025-08-14T14:04:01Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3885,266,fem,7,7,1,4,7,4,1,3,4,1,7,7,1,6,4,2,1,7,3,1,6,2,5,2,1,1,1,1,7,7,1,7,2,7,2,1,1,7,6,4,1,7,NA,NA,NA,NA,NA,NA,NA,NA,4,7,5,3,2,6,1,NA,NA,NA,Support humane accommodation while addressing root causes through international cooperation.
c0cf31d3-60ce-4abf-8365-ee5ae51e9d71,2025-08-14T14:04:16Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3885,269,fem,7,7,1,2,7,4,1,4,4,2,6,7,1,5,4,2,1,7,2,1,6,2,5,2,2,1,2,2,6,7,2,7,2,7,2,1,1,7,6,5,1,7,NA,NA,NA,NA,NA,NA,NA,NA,4,3,6,5,2,7,1,NA,NA,NA,Support humane policies focused on aid and integration while opposing discriminatory restrictions.
56e45a99-c8c9-4fe0-b4e0-13373d48d65d,2025-08-14T14:04:28Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3885,272,fem,7,7,1,5,7,4,1,4,4,2,7,7,1,7,6,2,1,7,2,1,6,3,4,2,1,1,2,1,7,7,1,7,2,7,2,1,1,7,6,5,1,7,NA,NA,NA,NA,NA,NA,NA,NA,3,7,4,6,2,5,1,NA,NA,NA,Support humane aid and systemic solutions while opposing discriminatory bans and deportations.
735f62a9-7073-40a4-8f46-e1d35046c017,2025-08-14T14:04:38Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3885,269,fem,7,7,2,2,6,3,1,4,4,2,6,7,1,6,5,2,2,6,2,1,6,2,4,2,2,1,2,2,6,7,2,7,2,7,2,1,2,7,6,5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,3,7,5,4,2,6,1,NA,NA,NA,Support humane aid and integration while addressing root causes of poverty and discrimination.
293a1717-429f-46a0-800e-dbdfa2cded3f,2025-08-14T14:13:13Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3903,271,ana,7,7,1,4,7,4,1,1,4,1,1,7,1,7,1,1,1,1,4,1,4,4,7,4,1,1,1,1,1,7,4,1,1,1,4,1,1,7,1,4,1,7,NA,NA,NA,NA,NA,NA,NA,NA,4,2,5,7,3,6,1,NA,NA,NA,Support voluntary mutual aid and housing while opposing state coercion and restrictions on movement.
d8b78a1c-fbe4-4bcc-94b4-ee49ebe406d8,2025-08-14T14:13:22Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3903,270,ana,7,7,1,4,7,4,1,1,4,1,1,7,1,7,4,1,1,1,4,1,7,4,7,1,1,1,1,1,1,7,1,4,1,1,4,1,1,7,4,4,1,7,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,1,3,7,2,NA,NA,NA,Mutual aid and voluntary assistance should replace state control and coercive policies.
4bea2a5c-7dd5-43be-a324-0022494463a5,2025-08-14T14:13:31Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3903,270,ana,7,7,1,1,7,4,1,1,4,1,1,7,1,7,1,1,1,1,4,1,7,1,7,1,1,1,1,1,1,7,7,7,1,1,4,1,7,7,7,4,1,7,NA,NA,NA,NA,NA,NA,NA,NA,4,3,6,5,2,7,1,NA,NA,NA,Support voluntary aid and mutual assistance while opposing state control and coercive measures.
9214f3e9-f40e-42e3-9879-20c5658c73a7,2025-08-14T14:13:39Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3903,272,ana,7,7,1,1,7,4,1,1,1,1,1,7,1,7,1,1,1,1,4,1,7,1,7,1,1,1,1,1,1,7,7,1,1,1,1,1,1,7,1,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,2,7,4,6,3,5,1,NA,NA,NA,"Voluntary mutual aid and solidarity, not state coercion or restrictions on individual freedom."
2149504b-9fb0-4470-8846-d1a73845756e,2025-08-14T14:14:08Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3903,273,ana,7,7,1,1,7,7,1,1,1,1,1,7,1,7,7,1,1,1,4,1,7,1,7,1,1,1,1,1,1,7,7,7,1,1,4,1,1,7,7,4,1,7,NA,NA,NA,NA,NA,NA,NA,NA,2,5,6,3,4,7,1,NA,NA,NA,"Support voluntary mutual aid and oppose state coercion, borders, and restrictions on human movement."
d5c4a5d5-8506-4a29-bac4-1397f6d456fe,2025-08-14T14:22:09Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3897,271,con,5,4,6,6,4,6,6,7,2,6,2,2,6,6,7,7,6,6,4,7,4,5,2,5,6,7,7,6,2,2,3,6,7,7,5,5,6,2,4,3,6,2,NA,NA,NA,NA,NA,NA,NA,NA,5,7,4,3,1,2,6,NA,NA,NA,Focus on helping in source countries while enforcing laws and preventing illegal settlements at home.
1623655c-dd4a-448e-838f-58fba3bb945e,2025-08-14T14:22:20Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3897,270,con,5,5,7,6,4,5,6,7,2,7,3,2,6,6,7,7,6,5,4,7,4,5,1,5,6,7,7,7,2,2,6,7,7,7,5,5,5,2,4,3,6,2,NA,NA,NA,NA,NA,NA,NA,NA,5,4,2,6,1,3,7,NA,NA,NA,Focus on helping in source countries while enforcing existing laws to maintain social order.
0a1f551b-9612-48e2-a8bc-ee7be22fe568,2025-08-14T14:22:32Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3897,273,con,4,5,7,7,4,6,7,7,2,6,2,1,5,6,7,7,7,6,4,7,4,2,1,6,7,7,7,7,2,2,3,6,7,7,5,5,6,1,4,3,6,1,NA,NA,NA,NA,NA,NA,NA,NA,1,6,3,4,5,2,7,NA,NA,NA,Banning begging and enforcing laws protects Swedish society while addressing root causes abroad.
9d844cac-9894-4e95-81b0-f01130147abf,2025-08-14T14:22:43Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3897,271,con,4,4,7,6,3,6,7,7,2,7,2,2,6,5,7,7,7,6,4,7,4,6,1,6,7,7,7,7,2,2,5,7,7,7,5,6,6,2,4,3,7,2,NA,NA,NA,NA,NA,NA,NA,NA,6,2,4,3,5,1,7,NA,NA,NA,Prioritize law enforcement and deportation while avoiding policies that enable more begging.
e1afa230-3eb7-4208-a05e-fd1f1846862e,2025-08-14T14:22:55Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3897,273,con,4,4,7,6,4,2,6,7,2,6,2,2,6,5,7,7,6,6,4,7,4,3,1,5,6,7,7,7,2,2,3,6,7,7,5,5,6,2,4,3,6,2,NA,NA,NA,NA,NA,NA,NA,NA,7,4,3,5,1,2,6,NA,NA,NA,Focus on source countries while enforcing laws at home to discourage illegal migration and begging.
a8399571-3c09-4227-83af-63110b60edeb,2025-08-14T15:40:38Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3894,268,eco,7,7,2,5,7,4,2,5,5,2,6,7,1,6,5,2,1,7,2,2,6,3,4,3,3,1,3,3,6,6,1,7,6,7,2,1,1,6,6,5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,6,3,5,7,1,4,2,NA,NA,NA,Focus on addressing root causes while providing humane support during transition periods.
b668f344-1671-4de1-869f-0e0dcf5f083a,2025-08-14T15:41:00Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3894,269,eco,7,7,2,5,7,4,2,4,4,3,5,7,1,6,6,3,2,7,4,2,5,3,4,2,2,1,2,2,6,7,1,7,6,7,2,1,1,6,5,5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,7,6,5,3,1,4,2,NA,NA,NA,Focus on sustainable solutions in source countries while providing humane support in Sweden.
910fe145-abd9-4c6c-ac09-380eb2019000,2025-08-14T15:41:10Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3894,269,eco,7,7,1,2,7,4,1,4,5,2,6,7,1,6,5,2,2,7,3,1,6,2,5,3,2,1,2,2,6,7,2,7,2,7,2,1,2,6,5,5,1,7,NA,NA,NA,NA,NA,NA,NA,NA,7,3,4,6,1,5,2,NA,NA,NA,Focus on root causes while providing humane support and avoiding discriminatory enforcement.
