cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,P3. Policies that involve a dramatic cut back in CO2 emissions (by 50% in the next 10 years).,P4. Policies that involve a moderate cut in CO2 emissions (by 25% in over the next 10 years).,"P5. Adaptation policies and expenditure (e.g. coastal protection, water desalinisation, improving infrastructure etc). Planning controls and emergency response programs.","P6. Adaptation policies that target individual, small business or community-based actions (eg support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change. 
68ce203a-1dee-4bac-b7da-2036536269c1,2025-08-14 13:56:57.422295+00:00,anthropic,claude-3-5-sonnet-20241022,0,3599,222,fas,5,1,7,6,3,4,2
a8be0078-51b4-4072-b84f-bc34178e6ae8,2025-08-14 13:57:05.877501+00:00,anthropic,claude-3-5-sonnet-20241022,0,3599,221,fas,3,1,7,6,4,5,2
5995c37f-c77b-4495-b557-c4012e9549e1,2025-08-14 13:57:16.122797+00:00,anthropic,claude-3-5-sonnet-20241022,0,3599,221,fas,2,1,6,5,3,7,4
10dec73a-67a5-473e-be27-d7ad9b8632f1,2025-08-14 13:57:25.083169+00:00,anthropic,claude-3-5-sonnet-20241022,0,3599,221,fas,2,1,7,6,3,5,4
5da169c2-ef36-43eb-a086-e6e9121edc8a,2025-08-14 13:57:36.450403+00:00,anthropic,claude-3-5-sonnet-20241022,0,3599,226,fas,2,1,7,6,4,5,3
95cfd7e0-95e6-46e2-8030-88bd892984ec,2025-08-14 14:05:59.397129+00:00,anthropic,claude-3-5-sonnet-20241022,0,3584,223,fem,5,6,1,2,4,7,3
2788d66b-2acb-47f8-a00f-8f23ab745b75,2025-08-14 14:06:07.673597+00:00,anthropic,claude-3-5-sonnet-20241022,0,3584,224,fem,7,6,1,5,4,2,3
675dc1d9-db37-47eb-b818-5e6689b80eee,2025-08-14 14:06:15.138120+00:00,anthropic,claude-3-5-sonnet-20241022,0,3584,223,fem,7,6,1,4,2,5,3
9fcd6ca5-3021-4cef-be29-ae8e2bcd65c1,2025-08-14 14:06:24.275080+00:00,anthropic,claude-3-5-sonnet-20241022,0,3584,224,fem,7,6,1,5,3,2,4
a26b8eb6-e4dc-43ac-b446-6b67a9f916ba,2025-08-14 14:06:35.083480+00:00,anthropic,claude-3-5-sonnet-20241022,0,3584,225,fem,6,7,1,5,3,2,4
a4396a2b-4e05-41cf-8807-1eca5a7a07cf,2025-08-14 14:15:36.423369+00:00,anthropic,claude-3-5-sonnet-20241022,0,3602,228,ana,6,7,2,5,4,1,3
b0719ba5-d3d3-4e57-8cbd-3661fc1258a0,2025-08-14 14:15:47.517610+00:00,anthropic,claude-3-5-sonnet-20241022,0,3602,224,ana,7,5,6,4,3,1,2
aaa9a1dc-abba-4f69-a741-86f90344cab4,2025-08-14 14:15:57.619593+00:00,anthropic,claude-3-5-sonnet-20241022,0,3602,225,ana,7,6,3,5,4,1,2
3fc3727e-ee2b-4f7d-8baa-4b2a9961e57d,2025-08-14 14:16:08.500899+00:00,anthropic,claude-3-5-sonnet-20241022,0,3602,226,ana,7,5,2,6,4,1,3
55e13660-c032-4f61-b01f-871102f7a72b,2025-08-14 14:16:17.993851+00:00,anthropic,claude-3-5-sonnet-20241022,0,3602,222,ana,6,7,3,5,2,1,4
4e9c677e-903f-4703-a97e-c486535f10a5,2025-08-14 14:24:02.792555+00:00,anthropic,claude-3-5-sonnet-20241022,0,3596,226,con,5,1,7,6,4,2,3
9f1c7f8f-d1b2-4efb-ba18-9b98d57b4669,2025-08-14 14:24:12.812846+00:00,anthropic,claude-3-5-sonnet-20241022,0,3596,222,con,3,1,7,6,5,4,2
df42d2ec-e123-4d1a-885b-a32c0b633f46,2025-08-14 14:24:22.084964+00:00,anthropic,claude-3-5-sonnet-20241022,0,3596,222,con,2,1,6,5,3,7,4
22ab24f7-f579-4683-b588-66c8e2c50ff8,2025-08-14 14:24:32.782903+00:00,anthropic,claude-3-5-sonnet-20241022,0,3596,224,con,2,5,7,6,4,3,1
fd48ed61-c08c-4291-822f-a379120e63ec,2025-08-14 14:24:45.272118+00:00,anthropic,claude-3-5-sonnet-20241022,0,3596,226,con,4,3,7,6,1,2,5
7d21f05e-b16f-4269-be62-2ef9b3ad13ac,2025-08-14 15:42:29.301336+00:00,anthropic,claude-3-5-sonnet-20241022,0,3593,225,eco,5,6,1,2,4,7,3
b7e8289b-443f-4afc-bf13-90ea72da146d,2025-08-14 15:42:39.217404+00:00,anthropic,claude-3-5-sonnet-20241022,0,3593,230,eco,7,6,1,5,4,2,3
a5bb1b25-3699-4197-8b7d-ad549b162c18,2025-08-14 15:42:48.295325+00:00,anthropic,claude-3-5-sonnet-20241022,0,3593,224,eco,7,6,1,4,2,5,3
db1eebeb-7714-442a-8f75-be09495740da,2025-08-14 15:42:57.393306+00:00,anthropic,claude-3-5-sonnet-20241022,0,3593,224,eco,7,5,1,6,3,2,4
67de5bfd-be1e-42ab-ba79-c545318259a3,2025-08-14 15:43:07.304556+00:00,anthropic,claude-3-5-sonnet-20241022,0,3593,228,eco,6,7,1,5,3,2,4
6d97acc0-80f3-4c51-89fb-bfd21f950161,2025-08-14 15:49:21.638104+00:00,anthropic,claude-3-5-sonnet-20241022,0,3596,228,fun,4,1,7,5,3,6,2
efdc77d7-3a05-4d2f-b1be-eb3540030530,2025-08-14 15:49:30.904951+00:00,anthropic,claude-3-5-sonnet-20241022,0,3596,229,fun,1,2,7,6,5,4,3
8d042264-85f2-45fb-b913-f17c7900049f,2025-08-14 15:49:39.196246+00:00,anthropic,claude-3-5-sonnet-20241022,0,3596,227,fun,1,2,5,4,6,7,3
837e7571-7e26-4a71-b6e3-5eae6163e835,2025-08-14 15:49:45.383130+00:00,anthropic,claude-3-5-sonnet-20241022,0,3596,231,fun,1,2,7,6,5,4,3
3f8040f3-87ca-4e3e-b3af-150f7bda54ec,2025-08-14 15:49:51.768770+00:00,anthropic,claude-3-5-sonnet-20241022,0,3596,225,fun,2,1,7,6,5,4,3
d48ff717-ce99-4c68-9813-3ffc50f9a0ff,2025-08-14 16:01:23.181443+00:00,anthropic,claude-3-5-sonnet-20241022,0,3596,226,lib,6,2,7,5,4,1,3
