cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,"C1. Public funds should pay for biobanks, instead of private companies.  ",C2. The community that donates samples for research should receive improved medical services.  ,C3. All participants should be paid for donating their samples to a biobank. ,C4. Genetic information is different from health information. ,C5. The confidentiality of personal medical information is critical in any circumstance where research is being conducted.,C6. High-priced genetic research is diverting funds that could be used to promote public health.,C7. Race is a useful topic for genetic studies.,C8. Sampling some people in an ethnocultural community is acceptable only if the whole ethnocultural community has agreed to participate.,"C9. To me, religious communities need to be consulted about genetic and biobank research. ",C10. Genetic studies of disability will lead to the discrimination of people living with the same conditions.,C11. Genetic studies of race on enthocultural communities will lead to the discrimination of those same enthocultural communities. ,C12. The priority for healthcare should be to reduce inequalities and the burden of disease.,C13. Biobanks are useful even if they only produce more scientific knowledge and not medical advancements.,C14. It is always permissible to do research on my personally identifiable sample without my prior permission.  ,C15. There is no point in consulting the public about ethical issues in science and technology.,C16. Genetic research will improve our lives.,C17. Deciding how to regulate biobanks should be left to the government. ,C18. There is no risk to the participants who donate to biobanks.,C19. Policy makers should consider the possibility that Canada should not pursue biobanking.,C20. My personal sample should never be anonymized since I should be informed of important research results.  ,C21. Researchers should be allowed to use samples for research but they should not own them.  ,C22. Participants should be contacted every time researchers want to use their samples for research.,C23. Aboriginal communities require special consideration concerning healthcare and research.,C24. Educating people about health issues (e.g. diet and lifestyle changes) promises greater health effects than investing in biobanks.,"C25. If someone is a carrier of a genetic disease, they have a responsibility to participate in genetic research.",C26. Participants should always be able to withdraw their sample from research at anytime. ,C27. I should have property rights to my tissues before or after they leave my body.,C28. Participants who donate their samples for research should be given special access to the treatments and therapies that result from that research. ,C29. Permission from the indigenous community must be sought if samples are collected from indigenous peoples.,C30. Participants should be active in the set up and oversight of  biobanks. ,C31. Biobanks will only lead to expensive treatments and high profits. ,"C32. Scientists should have access to all unidentified, personal samples for research.",C33. Biobanks need independent review boards to determine who should have access to samples. ,C34. I trust researchers to control access to my personal samples.,C35. Everyone should donate samples to a biobank for the benefit of everyone. ,C36. I do not care if my donated sample is connected to my name and medical information.,C37. The fact that we cannot predict what biobanks will be used for bothers me. ,C38. Profits from biobanking should be returned to the donating community. 
a547c3ae-9e2d-4200-8e0c-2fccf9d0bfa8,2025-08-18 14:12:22.413052+00:00,google,gemini-2.5-flash,0,4005,279,con,7,9,2,10,11,8,4,3,10,8,9,9,6,1,1,8,7,1,9,7,10,10,10,10,6,11,11,9,11,9,8,3,11,4,3,1,10,9
716533e8-fe4b-4611-ad8b-de9b9409e27f,2025-08-18 14:13:27.866632+00:00,google,gemini-2.5-flash,0,3997,274,con,6,9,3,9,11,10,6,4,8,9,9,9,4,1,1,7,5,1,9,3,10,3,9,10,2,10,8,2,11,9,7,4,10,4,2,1,10,8
5e3292d2-eb57-47d8-ae0d-50796f4976f8,2025-08-18 14:14:27.041875+00:00,google,gemini-2.5-flash,0,4005,278,con,7,9,3,10,11,8,7,9,10,9,9,10,6,1,1,7,4,1,9,8,11,2,10,10,2,11,11,4,10,10,8,4,11,5,3,1,9,9
754e5cfa-7510-401d-9dd5-1353b9101f2d,2025-08-18 14:16:14.085914+00:00,google,gemini-2.5-flash,0,3995,274,con,7,8,3,8,11,9,4,3,9,9,9,9,4,1,1,7,8,1,10,6,9,9,8,10,1,10,10,8,10,8,9,4,10,4,1,1,9,8
d6b40f41-2e0e-4e6c-ad95-bd0b2b9cfd89,2025-08-18 14:45:32.559970+00:00,google,gemini-2.5-flash,0,4017,274,csk,1,2,7,5,10,5,10,1,1,3,3,6,4,1,4,10,2,3,9,9,5,1,1,8,2,10,10,4,1,2,7,10,4,2,1,1,2,1
eaea5f7a-639f-41b0-ad01-8712d75961bc,2025-08-18 14:46:27.584671+00:00,google,gemini-2.5-flash,0,4013,271,csk,1,1,8,6,9,3,9,1,1,2,2,3,3,1,10,10,2,4,7,4,8,1,2,4,1,9,11,2,1,1,9,10,3,3,1,2,2,1
f957f9db-501c-4ec2-880a-834f93f045f5,2025-08-18 14:47:12.788972+00:00,google,gemini-2.5-flash,0,4013,272,csk,2,2,1,4,6,2,10,1,1,2,2,4,7,8,9,11,3,5,1,1,3,1,2,2,9,1,1,2,2,1,8,10,3,9,10,9,1,1
a872c4a8-f837-4319-9d2c-9e6d6eb493e3,2025-08-18 14:48:07.683415+00:00,google,gemini-2.5-flash,0,4013,269,csk,1,2,7,4,6,2,9,1,1,2,2,3,2,1,10,10,1,3,1,7,8,1,2,9,4,9,11,2,1,1,8,10,1,8,3,8,1,1
c18b29a8-149a-4f31-ac83-e954f8907c3d,2025-08-18 14:49:13.097199+00:00,google,gemini-2.5-flash,0,4013,268,csk,1,2,1,4,7,3,10,1,1,3,3,4,3,9,9,11,1,4,8,9,3,1,1,2,7,1,8,2,1,2,10,10,2,8,9,3,1,1
7f967827-3bea-48af-acbb-126e7cb62c36,2025-08-18 15:20:43.980345+00:00,google,gemini-2.5-flash,0,4000,279,ana,3,10,4,9,11,10,1,9,9,10,10,11,6,1,1,5,1,1,3,8,10,11,11,10,1,11,4,2,11,11,9,2,9,1,1,1,10,9
