cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,C1. There is not enough information to definitively say that climate change is real.,C2. The response to  climate change is not going to be positive.  The same mistakes will keep happening.,"C3. Climate variation is normal, so why should this be a problem?",C4. More educational programmes are needed to increase public awareness about climate change.,C5. Climate change will not be a problem because there will be technological solutions available.,C6. I don't trust what scientists say about climate change.,C7. I don't trust what I hear about climate change from government.,C8. We need strong political leadership to do something about climate change.,C9. I think it is safe to say climate change is here.,C10. I'm not going to do anything to address climate change because it is not a major issue.,C11. There's not much point in me doing anything to fix this. No-one else is going to.,C12. It's difficult to trust what comes out in the media on the issue of climate change.,"C13. It is already too late to do anything, as any action to stop climate change will take a long time to take effect.","C14. I'm not concerned enough to do anything drastic about this, such as participate in political action.",C15. It is unfair that we are going to leave the climate in a mess for future generations.,C16. We should pay for greenhouse emissions.,C17. We can adapt to the coming changes.,C18. It is clear that we are already entering the zone of dangerous climate change.,C19. I care about the planet.,"C20. I don't know what to do. I'm very concerned and would like to do something, but I don't have a realistic shortlist of things that would really make a difference.",C21. Australia does not owe it to the rest of the world to reduce emissions and suffer economically.,C22. If Australia reduces greenhouse gases it won't make a difference. That will just shift Australian jobs to other countries. ,C23. This is so depressing and is so out of our control.,"C24. I believe that the difference we can have as an individual, in Australia, is so minimal that our actions are worthless.","C25. Australia is particularly vulnerable to climate change, and it is in our interest to help find an effective global solution.",C26. We need laws addressing climate change because people are not going to volunteer to change.,"C27. I want to do something, but it is too big and too hard.","C28. When I read in the paper that climate change is not true, I start to have doubts about whether it is changing.",C29. Doing something to reduce emissions feels a bit hopeless but I just want to feel that I'm doing the most I can.,C30. The fate of the planet is too important to be left to market forces.,"C31. Australia's emissions are tiny, so it's not up to us to act.",C32. Governments should take a far greater role in preparing towns and cities to adapt to the impacts of climate change.,C33. Failure to address climate change is the fault of political leaders.
4911f661-60bd-452e-ac72-651c8e1bb8b7,2025-09-09 14:50:16.232083+00:00,openai,gpt-4o-mini,0,3305,215,eco,1,2,1,11,1,1,2,11,11,1,2,5,2,3,11,10,8,11,11,9,1,2,3,2,11,11,6,4,9,11,1,11,10
70f89faf-b4a7-48a9-9058-ac0d24bfc7ab,2025-09-09 18:47:35.889957+00:00,openai,gpt-4o-mini,0,3305,212,eco,1,2,1,11,1,1,2,11,11,1,2,5,2,3,11,10,8,11,11,9,1,2,3,2,11,11,6,4,9,11,1,11,10
51b710a3-bc89-49e0-909e-76c6c74c8a55,2025-09-09 18:47:46.011956+00:00,openai,gpt-4o-mini,0,3305,212,eco,1,1,1,11,3,1,2,11,11,1,2,6,1,2,11,10,7,11,11,3,2,2,2,1,11,11,8,2,9,11,2,11,11
451f15c9-2a04-4d8b-b07f-c3f7d6c7ebc6,2025-09-09 18:47:58.592117+00:00,openai,gpt-4o-mini,0,3305,215,eco,1,1,1,11,1,1,2,11,11,1,2,3,2,3,11,10,6,11,11,8,1,1,3,2,11,11,8,4,9,11,1,11,11
4deeb1d9-d334-4157-ab9d-078de75a06e8,2025-09-09 18:48:06.399373+00:00,openai,gpt-4o-mini,0,3305,215,eco,1,3,2,11,2,1,8,11,11,1,2,7,2,1,11,10,7,11,11,9,2,3,6,2,11,11,8,2,9,11,1,11,9
5712ea45-e013-408f-836a-a2a6ab4ed633,2025-09-09 18:49:23.523415+00:00,openai,gpt-4o-mini,0,3308,212,ana,1,10,2,11,1,2,11,1,11,1,2,8,2,3,11,1,9,11,11,8,1,4,6,3,11,1,7,5,9,11,1,1,11
bd6bf915-7c48-45b7-bcf9-eef0feaf29c4,2025-09-09 18:49:33.248217+00:00,openai,gpt-4o-mini,0,3308,212,ana,1,1,1,11,1,11,11,1,11,1,1,8,1,1,11,1,10,11,11,2,1,1,1,1,11,1,5,1,6,11,1,1,11
22cd33a2-42fa-451f-afa6-8bcfb418b948,2025-09-09 18:49:39.486279+00:00,openai,gpt-4o-mini,0,3308,213,ana,1,11,1,11,1,11,11,1,11,1,1,11,1,1,11,1,11,11,11,6,1,1,1,1,1,1,1,1,6,11,1,1,1
bd0c3f29-5d8f-456b-8d87-507015c543db,2025-09-09 18:49:51.663577+00:00,openai,gpt-4o-mini,0,3308,212,ana,1,11,1,11,1,1,11,1,11,1,11,11,1,1,11,1,11,11,11,11,1,1,11,1,11,1,11,1,11,11,1,1,1
616e9236-7386-40b6-b80e-b687ad6262a1,2025-09-09 18:56:58.123703+00:00,openai,gpt-4o-mini,0,3311,213,con,5,5,8,4,3,4,5,6,7,2,3,7,2,4,9,3,9,6,10,6,10,8,4,2,5,6,4,3,4,2,9,5,6
de7d32b2-32a7-4d19-8e80-9d62a5f5d86d,2025-09-09 18:57:04.252135+00:00,openai,gpt-4o-mini,0,3311,213,con,3,6,7,8,9,3,4,7,5,2,4,8,3,6,6,6,10,4,8,4,10,8,3,5,6,7,5,2,5,5,9,7,6
24be4953-aceb-40df-bd87-6194ae4e6f03,2025-09-09 18:57:09.763029+00:00,openai,gpt-4o-mini,0,3311,212,con,9,7,9,4,8,8,10,2,7,11,4,8,4,5,5,6,9,7,6,5,10,11,2,10,4,2,3,6,3,3,11,2,6
48666d98-1447-4fa1-a187-f0e508d58f82,2025-09-09 18:57:15.557003+00:00,openai,gpt-4o-mini,0,3311,212,con,3,3,11,9,6,2,2,8,10,1,2,5,2,4,5,8,10,3,7,5,9,8,4,2,6,7,4,4,6,3,9,7,6
26e4d670-9631-462e-b36e-3e6732c94e77,2025-09-09 18:57:21.719501+00:00,openai,gpt-4o-mini,0,3311,212,con,5,4,8,7,6,8,7,8,6,10,9,7,4,8,6,3,10,3,6,6,11,10,4,7,5,9,5,2,4,5,9,8,3
30a634eb-fd0d-473e-864a-166c25d462db,2025-09-09 19:10:34.415616+00:00,openai,gpt-4o-mini,0,3308,211,fas,9,9,1,1,1,10,10,1,2,11,11,8,11,11,1,1,3,2,1,10,11,11,9,11,11,1,11,7,11,1,11,1,10
efd640ba-e48f-4ace-9889-1635d345d9b1,2025-09-09 19:10:40.028211+00:00,openai,gpt-4o-mini,0,3308,211,fas,1,5,8,2,9,1,2,11,7,1,1,6,3,1,1,1,10,8,1,2,11,10,2,1,2,11,2,4,3,1,9,11,10
18fbbe47-e9c3-45d6-86dc-1cc63226088b,2025-09-09 19:10:45.839439+00:00,openai,gpt-4o-mini,0,3308,211,fas,11,11,11,1,11,11,11,11,11,11,1,11,1,11,1,11,11,1,1,1,11,11,1,1,1,11,1,1,1,1,11,1,1
66c16024-3f5e-419e-8a0b-414906803d6d,2025-09-09 19:10:51.299498+00:00,openai,gpt-4o-mini,0,3308,211,fas,1,1,11,1,11,1,1,11,11,1,1,1,1,1,1,11,11,11,1,1,11,11,1,1,1,11,1,1,1,11,11,11,11
52952361-7c75-4048-b4e8-95cd1f23bb3a,2025-09-09 19:10:56.992018+00:00,openai,gpt-4o-mini,0,3308,212,fas,1,1,11,1,11,1,1,11,1,11,1,1,1,1,1,1,11,1,1,1,11,11,1,1,1,1,1,1,1,1,11,1,1
a795a097-c01d-4715-a291-f2e0793899b5,2025-09-09 19:17:19.310534+00:00,openai,gpt-4o-mini,0,3299,215,fem,1,1,1,11,1,1,6,11,11,1,2,6,2,2,11,11,6,11,11,8,1,2,3,1,11,11,5,4,9,11,1,11,11
216ab99d-7315-456c-b78f-6be753af4574,2025-09-09 19:17:26.983374+00:00,openai,gpt-4o-mini,0,3299,214,fem,1,1,1,11,1,1,1,11,11,1,1,5,1,1,11,11,5,11,11,2,1,1,1,1,11,11,6,1,10,11,1,11,11
ac4dccf7-701b-4fcc-b45e-911dc798cd87,2025-09-09 19:17:35.180998+00:00,openai,gpt-4o-mini,0,3299,212,fem,1,1,1,11,1,1,1,11,11,1,1,1,1,1,11,11,10,11,11,10,1,1,1,1,11,11,1,1,10,11,1,11,11
4b2b6b79-5bc5-484d-8a3e-893518d9c568,2025-09-09 19:17:41.049903+00:00,openai,gpt-4o-mini,0,3299,215,fem,1,1,1,11,1,1,11,11,11,1,2,9,2,2,11,11,3,11,11,3,1,1,2,2,11,11,3,2,9,11,1,11,11
43474c9d-a88e-4548-b928-d92241ba1439,2025-09-09 19:17:48.433285+00:00,openai,gpt-4o-mini,0,3299,212,fem,1,1,1,11,1,1,11,11,11,1,1,11,1,1,11,11,1,11,11,11,1,1,1,1,11,11,11,1,11,11,1,11,11
23e3f90f-38a1-481a-abfa-455c844185b7,2025-09-09 19:24:05.155916+00:00,openai,gpt-4o-mini,0,3314,211,fun,11,9,11,11,1,11,11,11,1,11,11,10,11,11,11,11,6,1,11,10,11,11,10,11,1,11,10,10,10,11,11,11,11
3798842e-a90f-4f36-b83c-13d11c6b2171,2025-09-09 19:24:11.862434+00:00,openai,gpt-4o-mini,0,3314,211,fun,1,1,11,11,1,1,1,11,11,1,1,1,1,1,11,11,11,11,11,1,1,1,1,1,11,11,1,1,1,11,1,11,11
4a184291-304a-4190-b593-fffd0ffdd64e,2025-09-09 19:24:18.054051+00:00,openai,gpt-4o-mini,0,3314,212,fun,11,1,11,1,11,11,11,1,11,11,1,11,1,11,1,1,11,1,1,1,11,11,1,11,1,1,1,1,1,11,11,1,1
f60be7b8-45b8-4c7c-bdd3-a22eeca8084c,2025-09-09 19:24:23.978445+00:00,openai,gpt-4o-mini,0,3314,211,fun,1,1,11,11,11,1,1,11,11,1,1,1,1,1,11,11,11,11,11,1,11,11,1,1,11,11,1,1,11,11,1,11,11
a035ed43-f55f-43bd-a27e-4062c7b5afab,2025-09-09 19:24:31.049758+00:00,openai,gpt-4o-mini,0,3314,212,fun,1,1,11,1,1,1,1,1,1,11,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61444e2f-4b66-4071-82ba-27294af53673,2025-09-09 19:31:36.505733+00:00,openai,gpt-4o-mini,0,3308,212,lib,1,2,2,9,3,2,3,6,9,1,2,7,1,3,10,6,8,9,10,7,10,6,3,2,8,2,5,4,6,2,9,4,5
4f847eb7-bc2a-4360-9271-d49d41970a9d,2025-09-09 19:31:44.110040+00:00,openai,gpt-4o-mini,0,3308,212,lib,2,2,4,10,7,2,3,6,9,2,2,5,2,4,10,8,8,9,10,3,7,5,2,3,9,3,5,2,6,3,4,4,8
45bbbfb1-1f1a-422f-aad4-21257d7e8b3a,2025-09-09 19:31:50.509371+00:00,openai,gpt-4o-mini,0,3308,211,lib,2,2,5,8,9,2,2,3,10,1,2,5,3,3,8,8,9,6,10,7,7,6,2,3,7,4,2,4,6,1,5,3,4
b31230dc-82a3-487e-90d8-7ca01f2816f0,2025-09-09 19:31:56.657671+00:00,openai,gpt-4o-mini,0,3308,213,lib,2,2,4,9,8,2,2,3,9,6,2,5,2,4,7,4,10,8,10,5,10,9,1,3,7,2,5,3,6,1,8,3,6
582a0ff0-be16-4393-8828-d46200dc3ecd,2025-09-09 19:32:02.609191+00:00,openai,gpt-4o-mini,0,3308,213,lib,2,3,3,7,10,2,9,4,10,2,4,6,2,4,9,5,8,9,8,8,7,6,3,4,9,3,6,2,7,2,5,6,3
f39bd0b0-4c16-4cb6-b140-e72758b37c5e,2025-09-09 19:38:56.189194+00:00,openai,gpt-4o-mini,0,3311,213,nat,1,6,2,9,1,1,1,11,11,1,2,5,2,3,10,10,8,11,10,6,11,11,3,2,11,11,5,4,7,11,11,10,11
7d85915b-61ee-4b16-9068-d7f26c2a46b5,2025-09-09 19:39:02.196550+00:00,openai,gpt-4o-mini,0,3311,212,nat,1,2,3,11,5,2,2,11,11,1,1,3,1,2,10,10,8,10,10,2,11,9,1,1,11,11,4,2,6,11,11,11,11
c083ad4a-5924-4402-9ef4-8b12796c3749,2025-09-09 19:39:07.936648+00:00,openai,gpt-4o-mini,0,3311,212,nat,1,1,1,11,1,1,1,11,11,1,1,1,1,1,11,11,11,11,11,6,11,11,1,1,11,11,1,1,6,11,1,11,11
56564a05-ab11-4305-b590-7c6e48d2cce5,2025-09-09 19:39:13.864040+00:00,openai,gpt-4o-mini,0,3311,212,nat,2,3,5,10,6,2,3,10,10,2,3,4,3,4,8,8,9,10,9,4,11,11,2,2,8,9,4,3,7,9,11,10,10
962d493b-9bad-41c0-a5a2-d8c710dbf564,2025-09-09 19:39:19.723152+00:00,openai,gpt-4o-mini,0,3311,212,nat,1,1,1,1,1,1,1,11,11,1,1,1,1,1,1,1,11,11,1,1,11,11,1,1,11,11,1,1,1,1,11,11,1
0542c4aa-f1ff-4d7e-a310-fcd1dfe4a683,2025-09-09 19:46:28.355007+00:00,openai,gpt-4o-mini,0,3314,215,pop,1,9,2,11,1,1,10,11,11,1,9,10,2,3,11,10,8,11,11,8,1,10,6,2,11,11,7,5,9,11,1,11,11
6766d958-de1c-4b44-9d8c-5479c3448809,2025-09-09 19:46:33.985385+00:00,openai,gpt-4o-mini,0,3314,212,pop,1,1,1,11,1,1,1,11,11,1,1,10,1,1,11,11,1,11,11,2,1,1,1,1,11,11,1,1,10,11,1,11,11
986d7293-44bd-439b-9813-c7bebe137a0a,2025-09-09 19:46:40.849805+00:00,openai,gpt-4o-mini,0,3314,212,pop,1,1,1,11,1,1,11,11,11,1,11,11,1,1,11,11,10,11,11,10,1,1,1,1,11,11,1,1,10,11,1,11,11
d6dbc4fe-609e-400d-8f2a-05d572b2f513,2025-09-09 19:46:47.097660+00:00,openai,gpt-4o-mini,0,3314,213,pop,1,1,2,11,1,1,11,11,11,1,2,9,2,3,11,11,5,11,11,3,2,2,2,1,11,11,3,3,9,11,2,11,11
576596e9-c4c5-49c9-b613-1215bb5d54b2,2025-09-09 19:46:52.647830+00:00,openai,gpt-4o-mini,0,3314,212,pop,1,11,1,11,1,1,11,11,11,1,1,11,1,1,11,11,1,11,11,11,1,1,1,1,11,11,11,1,11,11,1,11,11
5e134ee3-4e66-4713-89d4-fce3ec626fa7,2025-09-09 19:54:32.744826+00:00,openai,gpt-4o-mini,0,3302,212,soc,1,2,1,11,1,1,3,11,11,1,2,3,2,2,11,11,5,11,11,7,1,3,2,1,11,11,5,2,9,11,1,11,11
2d99e682-37b1-45d2-9a29-4b374f1335b9,2025-09-09 19:54:38.168518+00:00,openai,gpt-4o-mini,0,3302,212,soc,1,1,1,11,1,1,1,11,11,1,1,2,1,1,11,11,6,11,11,2,1,1,2,1,11,11,5,1,10,11,1,11,11
a131c1a3-4138-4a64-a313-7248fe905403,2025-09-09 19:54:44.616057+00:00,openai,gpt-4o-mini,0,3302,212,soc,1,1,1,11,1,1,3,11,11,1,1,3,1,1,11,11,9,11,11,9,1,1,3,1,11,11,1,3,9,11,1,11,11
0590accc-1025-4194-ac22-4cd8b8bb7ef0,2025-09-09 19:54:50.282668+00:00,openai,gpt-4o-mini,0,3302,214,soc,1,1,1,11,1,1,2,11,11,1,2,2,2,3,11,11,4,11,11,3,1,1,2,2,11,11,3,2,8,11,1,11,11
dec4783f-8aab-42b9-9e95-f2dc46e2ac1c,2025-09-09 19:54:56.005815+00:00,openai,gpt-4o-mini,0,3302,212,soc,1,1,1,11,1,1,1,11,11,1,1,1,1,1,11,11,1,11,11,11,1,1,1,1,11,11,11,1,11,11,1,11,11
210a11de-0caf-477d-93f0-0e341ddfcc72,2025-09-09 20:01:04.837341+00:00,openai,gpt-4o-mini,0,3338,213,coa,1,10,1,11,1,1,1,11,11,1,6,4,9,2,11,10,8,11,11,8,1,5,9,2,11,11,7,3,10,11,1,11,10
