cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,"P1. Use of stored data and biological samples for research requires approval by an appropriate governing body (e.g., research ethics board), regardless of whether the individual is identifiable.","P2. Regardless of privacy and oversight, it is most important to prevent discrimination (e.g., through insurance, social attitudes) that might result from research on collections of data and biological samples.","P3. Use of stored data and biological samples for research requires approval by an appropriate governing body (e.g., research ethics board), ONLY when the individual is identifiable.",P4. Use of stored data and biological samples for research requires authorization from individuals only when they are identifiable AND approval by an appropriate governing body (e.g. research ethics board) when they are not identifiable.,P5. Use of stored data and biological samples for research requires authorization from individuals ONLY when the individual is identifiable.,"P6. Regardless of privacy and oversight, it is most important to ensure benefits to society or the community (e.g., geographical, ethno-cultural) participating in a collection of data and biological samples.","P7. Every use of stored data and biological samples for research requires the authorization of individuals, even if the use does not identify the individual."
2e1fe3d3-3f0e-4351-94ee-e5a1e4e8e990,2025-08-14 13:58:37.915908+00:00,anthropic,claude-3-5-sonnet-20241022,0,4066,251,fas,1,2,3,4,5,6,7
6147d6ca-883d-4fad-9d81-8db3de1db8ba,2025-08-14 13:58:51.558298+00:00,anthropic,claude-3-5-sonnet-20241022,0,4066,251,fas,6,5,3,4,2,1,7
a6bdad2a-779e-4aec-a6ec-e629a414e1f7,2025-08-14 13:59:04.145879+00:00,anthropic,claude-3-5-sonnet-20241022,0,4066,251,fas,1,5,3,6,4,2,7
6677d727-59ff-4575-ae55-7712b617980d,2025-08-14 13:59:18.895645+00:00,anthropic,claude-3-5-sonnet-20241022,0,4066,251,fas,1,7,2,5,3,4,6
f710f37e-8c0e-4b62-965f-2ce4bf166911,2025-08-14 13:59:35.075193+00:00,anthropic,claude-3-5-sonnet-20241022,0,4066,252,fas,3,7,4,5,2,1,6
95088f45-2f71-49c6-9ac4-771ad803ad5f,2025-08-14 14:07:53.177626+00:00,anthropic,claude-3-5-sonnet-20241022,0,4051,249,fem,3,1,6,4,5,7,2
d7a335e8-d181-405d-b1fe-35dcf0faa4f8,2025-08-14 14:08:02.466002+00:00,anthropic,claude-3-5-sonnet-20241022,0,4051,248,fem,1,3,7,5,6,4,2
1308fbe9-c9c4-4bca-ad63-52358f3050a6,2025-08-14 14:08:13.227983+00:00,anthropic,claude-3-5-sonnet-20241022,0,4051,247,fem,3,1,6,4,7,5,2
d546aec0-8035-4ffb-86b1-e755624e5596,2025-08-14 14:08:21.720206+00:00,anthropic,claude-3-5-sonnet-20241022,0,4051,247,fem,3,1,7,5,6,2,4
e6a33890-103e-4579-b6ef-1fa00b429d6c,2025-08-14 14:08:34.931744+00:00,anthropic,claude-3-5-sonnet-20241022,0,4051,247,fem,2,1,7,4,6,3,5
57a4a91c-a7a0-4a3f-a710-faa032e8ceed,2025-08-14 14:17:53.361391+00:00,anthropic,claude-3-5-sonnet-20241022,0,4069,251,ana,3,2,7,6,5,4,1
df0b774a-e866-40bc-8a9e-9c83d999ceda,2025-08-14 14:18:08.310808+00:00,anthropic,claude-3-5-sonnet-20241022,0,4069,248,ana,4,5,7,6,3,1,2
c6a710f0-a19e-44c0-93bf-936c679140fb,2025-08-14 14:18:20.257744+00:00,anthropic,claude-3-5-sonnet-20241022,0,4069,247,ana,6,1,4,5,7,3,2
96865ec8-4899-46be-80ba-85c9200fdb31,2025-08-14 14:18:33.569040+00:00,anthropic,claude-3-5-sonnet-20241022,0,4069,251,ana,3,2,7,4,6,5,1
d286b70b-3856-46d5-816c-ee18dcbf879d,2025-08-14 14:18:45.250977+00:00,anthropic,claude-3-5-sonnet-20241022,0,4069,248,ana,6,3,5,4,7,2,1
951eb33b-a597-4022-82a4-11acc544d4df,2025-08-14 14:25:49.936323+00:00,anthropic,claude-3-5-sonnet-20241022,0,4063,247,con,1,7,4,2,3,6,5
b55d3394-2899-4acb-850e-e9304271102d,2025-08-14 14:26:01.671425+00:00,anthropic,claude-3-5-sonnet-20241022,0,4063,247,con,1,2,3,7,4,5,6
f3a2239c-ed41-4e30-b030-dab5004836e9,2025-08-14 14:26:13.150050+00:00,anthropic,claude-3-5-sonnet-20241022,0,4063,249,con,1,3,7,2,5,6,4
7abf21f0-57d2-4d13-a283-cb28e0efb879,2025-08-14 14:26:24.196405+00:00,anthropic,claude-3-5-sonnet-20241022,0,4063,248,con,1,2,5,4,6,3,7
a918fb04-7d89-48bc-bcfc-9b281c63de5d,2025-08-14 14:26:41.720900+00:00,anthropic,claude-3-5-sonnet-20241022,0,4063,248,con,1,5,2,6,3,4,7
3ea3807d-cbec-43f8-a552-a2590e6270e9,2025-08-14 15:44:01.620100+00:00,anthropic,claude-3-5-sonnet-20241022,0,4060,247,eco,2,1,5,3,6,7,4
f0691595-a094-48f6-b2d1-bcf7a0af39ae,2025-08-14 15:44:08.435799+00:00,anthropic,claude-3-5-sonnet-20241022,0,4060,248,eco,1,2,7,5,6,3,4
2b2dbe7f-bf8c-4342-86c1-933bee5802e6,2025-08-14 15:44:16.011466+00:00,anthropic,claude-3-5-sonnet-20241022,0,4060,250,eco,3,1,6,4,7,5,2
3c70ea09-a677-4f5c-966c-6f9df3c974bc,2025-08-14 15:44:27.153318+00:00,anthropic,claude-3-5-sonnet-20241022,0,4060,248,eco,3,2,6,5,7,1,4
f90aa7fe-c3a9-4f2c-a93f-d6eb7d4b11b4,2025-08-14 15:44:35.979021+00:00,anthropic,claude-3-5-sonnet-20241022,0,4060,249,eco,2,1,6,4,7,3,5
26887c94-6921-499e-af2f-619750786fa1,2025-08-14 15:51:00.704149+00:00,anthropic,claude-3-5-sonnet-20241022,0,4063,249,fun,4,1,5,3,6,7,2
113aa37b-e823-42f2-b4b9-302abc446c32,2025-08-14 15:51:07.702476+00:00,anthropic,claude-3-5-sonnet-20241022,0,4063,249,fun,5,2,6,4,7,3,1
2ef51396-a542-4bf9-96b7-54f9a09b26cb,2025-08-14 15:51:14.655911+00:00,anthropic,claude-3-5-sonnet-20241022,0,4063,246,fun,3,1,5,4,7,6,2
38d2c858-d3b3-4460-9905-d7661329b71f,2025-08-14 15:51:20.872536+00:00,anthropic,claude-3-5-sonnet-20241022,0,4063,248,fun,3,2,7,5,6,1,4
d056389f-e9ac-43f8-a707-9337b9706c99,2025-08-14 15:51:30.397670+00:00,anthropic,claude-3-5-sonnet-20241022,0,4063,249,fun,3,4,5,6,7,2,1
a1adc6d1-74ae-4adc-a004-e5ccb88c68f7,2025-08-14 16:03:01.466500+00:00,anthropic,claude-3-5-sonnet-20241022,0,4063,248,lib,2,1,6,3,7,4,5
1174f286-c148-4139-bfa4-087f1fbcd84b,2025-08-14 16:03:11.732521+00:00,anthropic,claude-3-5-sonnet-20241022,0,4063,252,lib,4,5,3,2,1,6,7
dcc92e19-2530-406b-b93b-caf4630b898f,2025-08-14 16:03:24.377441+00:00,anthropic,claude-3-5-sonnet-20241022,0,4063,249,lib,4,3,7,1,5,6,2
5af69ebb-4a85-4dbd-89da-81db9a6f3244,2025-08-14 16:03:36.152973+00:00,anthropic,claude-3-5-sonnet-20241022,0,4063,251,lib,4,6,2,3,1,7,5
8577056d-5515-48e2-8f82-fc481960dc20,2025-08-14 16:03:45.457099+00:00,anthropic,claude-3-5-sonnet-20241022,0,4063,249,lib,4,5,3,2,7,6,1
e971773c-1a90-4b41-a594-7681854e3c49,2025-08-14 17:09:40.350578+00:00,anthropic,claude-3-5-sonnet-20241022,0,4057,248,nat,3,2,6,4,7,1,5
75ea4442-08b3-49bf-aadf-33bc5d5301f6,2025-08-14 17:09:49.129129+00:00,anthropic,claude-3-5-sonnet-20241022,0,4057,248,nat,6,2,5,3,7,1,4
6d8a20d4-8472-4bea-a244-e258c063a6b1,2025-08-14 17:09:59.168498+00:00,anthropic,claude-3-5-sonnet-20241022,0,4057,248,nat,5,6,7,3,4,1,2
a73ede02-3641-4908-a28d-8d647f960c19,2025-08-14 17:10:09.872551+00:00,anthropic,claude-3-5-sonnet-20241022,0,4057,248,nat,3,2,7,5,6,1,4
77322a60-5cee-4def-8df8-5aacdd14e3a9,2025-08-14 17:10:21.014502+00:00,anthropic,claude-3-5-sonnet-20241022,0,4057,249,nat,4,3,6,5,2,1,7
a8665234-f7e4-43db-bec8-cba3341fb6e5,2025-08-14 17:16:17.975170+00:00,anthropic,claude-3-5-sonnet-20241022,0,4063,252,pop,7,3,6,4,5,1,2
903ef0e3-2f73-4579-8f5a-e41a63d3713d,2025-08-14 17:16:33.955805+00:00,anthropic,claude-3-5-sonnet-20241022,0,4063,253,pop,6,1,5,4,7,3,2
0ed5d3af-d115-4e58-af52-60baf55a84cb,2025-08-14 17:16:41.885241+00:00,anthropic,claude-3-5-sonnet-20241022,0,4063,251,pop,4,1,6,5,7,3,2
f2262fe3-b00a-431b-9668-8470d83e414e,2025-08-14 17:16:49.433372+00:00,anthropic,claude-3-5-sonnet-20241022,0,4063,253,pop,3,2,7,6,5,1,4
5f29af39-b1de-4fd9-a8a1-8d1672e088b2,2025-08-14 17:16:59.401827+00:00,anthropic,claude-3-5-sonnet-20241022,0,4063,250,pop,6,2,5,4,7,1,3
dfaf7895-76ba-4f47-abbd-fd8b85239907,2025-08-14 17:30:21.785323+00:00,anthropic,claude-3-5-sonnet-20241022,0,4054,248,soc,2,5,6,4,7,1,3
7ebfae7a-62f4-4e21-a0c3-55324cd9230a,2025-08-14 17:30:33.217808+00:00,anthropic,claude-3-5-sonnet-20241022,0,4054,247,soc,6,2,5,4,7,1,3
4428aa32-f6f7-4ce8-97b0-f300df1d1e75,2025-08-14 17:30:41.881520+00:00,anthropic,claude-3-5-sonnet-20241022,0,4054,247,soc,3,1,7,6,4,5,2
981e55b4-315d-4cf5-a9ad-79fd3b35837c,2025-08-14 17:30:49.990788+00:00,anthropic,claude-3-5-sonnet-20241022,0,4054,249,soc,3,2,7,5,6,1,4
f643ce47-82f6-4927-89bc-3a22eb987430,2025-08-14 17:30:59.736228+00:00,anthropic,claude-3-5-sonnet-20241022,0,4054,247,soc,3,1,6,5,4,2,7
499d8761-c971-4519-92f2-dffcbdf94c32,2025-08-14 17:44:54.545952+00:00,anthropic,claude-3-5-sonnet-20241022,0,4093,250,coa,4,1,5,3,6,7,2
3df31f5a-4b9c-4b49-8e2d-8bfd391a3438,2025-08-14 17:45:03.888314+00:00,anthropic,claude-3-5-sonnet-20241022,0,4093,252,coa,1,2,5,7,6,3,4
93394258-0fea-43da-a282-7875d1948acc,2025-08-14 17:45:13.571037+00:00,anthropic,claude-3-5-sonnet-20241022,0,4093,249,coa,3,1,6,4,7,5,2
f89d4341-cac7-4a66-b012-fb50e32968e5,2025-08-14 17:45:21.902179+00:00,anthropic,claude-3-5-sonnet-20241022,0,4093,248,coa,3,2,6,5,7,1,4
58473bd8-f5a7-4f34-8b6f-d49d1d84989c,2025-08-14 17:45:29.401356+00:00,anthropic,claude-3-5-sonnet-20241022,0,4093,249,coa,3,1,6,5,4,2,7
aa220a53-d732-4bc9-a14f-bcaa0f8e8c5c,2025-08-14 17:58:59.944657+00:00,anthropic,claude-3-5-sonnet-20241022,0,4087,251,ctr,3,1,5,4,6,7,2
4647eed0-02cb-45a0-963c-586b08c44cc6,2025-08-14 17:59:08.204801+00:00,anthropic,claude-3-5-sonnet-20241022,0,4087,249,ctr,5,1,6,4,7,3,2
4f9ed2b1-a90f-4086-9ea2-5643f578f743,2025-08-14 17:59:17.823667+00:00,anthropic,claude-3-5-sonnet-20241022,0,4087,253,ctr,3,4,6,1,7,5,2
f813b7a2-09f9-47a5-bc6f-9df83b3ac727,2025-08-14 17:59:35.654004+00:00,anthropic,claude-3-5-sonnet-20241022,0,4087,251,ctr,3,2,6,5,7,1,4
50b0afe3-e1cb-401e-8c76-5225df97e034,2025-08-14 17:59:46.341150+00:00,anthropic,claude-3-5-sonnet-20241022,0,4087,251,ctr,3,1,6,5,4,2,7
0c9f8d51-7da2-435c-9176-bbed6e858d22,2025-08-14 18:15:19.302163+00:00,anthropic,claude-3-5-sonnet-20241022,0,4096,252,dis,3,1,5,2,6,7,4
c8e3507a-8c21-456b-8d25-5cc04909eb4d,2025-08-14 18:15:29.518085+00:00,anthropic,claude-3-5-sonnet-20241022,0,4096,252,dis,1,2,5,7,6,3,4
