cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,reason
994270bf-ac98-4f7f-b438-97435f6fb9a4,2025-09-16 13:31:46.844393+00:00,openai,gpt-3.5-turbo,0,3353,246,ana,"7 prioritizes economic growth over climate action, 6 focuses on adaptation, 3 supports individual actions, 1 advocates for drastic emission cuts, 5 maintains current policies, 2 emphasizes infrastructure adaptation, 4 suggests moderate emission cuts."
a8bd8f7d-dcc8-496a-982c-2d265e0a4123,2025-09-16 13:31:52.590535+00:00,openai,gpt-3.5-turbo,0,3353,212,ana,"I prioritize decentralized, community-based solutions over centralized, growth-focused policies."
f0fff7c8-675d-4258-aa37-7da3595afdb3,2025-09-16 13:31:57.618826+00:00,openai,gpt-3.5-turbo,0,3353,240,ana,"1 supports grassroots action, 6 focuses on community resilience, 3 balances growth, 7 prioritizes emission cuts, 5 promotes tech solutions, 2 emphasizes adaptation spending, 4 maintains status quo."
3975c556-c71c-483d-9619-4b4f1462e935,2025-09-16 13:32:03.279229+00:00,openai,gpt-3.5-turbo,0,3353,219,ana,"3 is prioritized for drastic CO2 cuts & resilience tech, 7 least favored for moderate cuts."
94e22f47-a89b-4c7b-9870-0b42fd273f2c,2025-09-16 13:32:10.424521+00:00,openai,gpt-3.5-turbo,0,3353,240,ana,"1 is drastic emission cut, 2 is adaptation, 4 is individual action, 6 is tech resilience, 5 is moderate emission cut, 3 is economic growth, 7 is status quo."
7a2292e3-e782-497c-baed-a25a2a09186a,2025-09-16 13:37:04.586249+00:00,openai,gpt-3.5-turbo,0,3359,210,con,I prioritize economic growth and gradual adaptation over drastic emission cuts.
68344bd7-e895-4734-89f4-acf17d1d9c41,2025-09-16 13:37:09.644588+00:00,openai,gpt-3.5-turbo,0,3359,217,con,I prioritize moderate CO2 cuts and individual actions for climate resilience over dramatic cuts or economic growth.
38564a28-c08a-40b0-a685-6dbfaf5030c7,2025-09-16 13:37:14.736124+00:00,openai,gpt-3.5-turbo,0,3359,213,con,"I support policies that prioritize gradual change, economic growth, and individual actions."
664224cf-8ad3-4aaa-b271-51e19d6dd3c2,2025-09-16 13:37:20.011237+00:00,openai,gpt-3.5-turbo,0,3359,219,con,"4 is favored for balancing climate risk and tech, 7 is least favored for moderate CO2 cuts."
8364462e-7168-4351-8bdf-a00e3cc308ca,2025-09-16 13:37:25.441654+00:00,openai,gpt-3.5-turbo,0,3359,214,con,I prioritize economic growth and individual actions over drastic emissions cuts or maintaining current policies.
bc6416d3-3c5e-4347-99a2-d91debb43649,2025-09-16 13:42:14.330899+00:00,openai,gpt-3.5-turbo,0,3353,217,eco,"I support policies focusing on strong CO2 cuts, resilience, and community actions over economic growth."
f0564f16-a8e7-40da-ab37-d7387d056c02,2025-09-16 13:42:19.250891+00:00,openai,gpt-3.5-turbo,0,3353,244,eco,"5 prioritizes significant emission reduction, 3 focuses on resilience, 1 supports moderate cuts, 7 emphasizes adaptation, 4 targets community actions, 2 maintains current settings, 6 prioritizes economic growth over climate concerns."
57e8450c-e0e3-489d-b7bf-0b2df260ea34,2025-09-16 13:42:24.790281+00:00,openai,gpt-3.5-turbo,0,3353,243,eco,"6 supports local actions, 7 advocates drastic CO2 cuts, 2 prioritizes economy, 1 promotes status quo, 5 focuses on resilience, 3 emphasizes adaptation spending, 4 suggests moderate CO2 reductions."
0cc48589-c706-4021-8d53-12f1555dd7b8,2025-09-16 13:42:30.697169+00:00,openai,gpt-3.5-turbo,0,3353,224,eco,"3 prioritizes drastic emission cuts, 5 focuses on adaptation, 6 supports community actions, 7 suggests moderate emission reductions."
3bd65f6e-956a-4725-a5c0-1bf44ee425ed,2025-09-16 13:42:36.248867+00:00,openai,gpt-3.5-turbo,0,3353,216,eco,"I prioritize drastic CO2 cuts, community-based actions, and resilience tech over status quo."
431b0b6e-bb98-4192-84f9-be808c26c56e,2025-09-16 13:47:35.931184+00:00,openai,gpt-3.5-turbo,0,3350,210,fas,I support policies that prioritize economic growth over climate change actions.
c4589df2-b852-4e28-8c33-0a5a4a014432,2025-09-16 13:47:45.132147+00:00,openai,gpt-3.5-turbo,0,3350,216,fas,"I prioritize economic growth over drastic CO2 cuts, favoring adaptation policies and technology development."
ac37f0a4-9db4-494b-88ed-7aad682f2d92,2025-09-16 13:52:39.351971+00:00,openai,gpt-3.5-turbo,0,3347,249,fem,"1 supports strong CO2 cuts, 2 focuses on resilience, 3 targets community actions, 4 advocates for dramatic CO2 reductions, 5 maintains current settings, 6 prioritizes adaptation measures, 7 prioritizes economic growth over climate action."
71cad8e8-cd9a-45bb-b9eb-0c9c5cc82c64,2025-09-16 13:52:45.471279+00:00,openai,gpt-3.5-turbo,0,3347,242,fem,"1 supports significant CO2 reduction, 5 for moderate, 4 for adaptation, 7 for adaptation expenditure, 3 for climate risk preparation, 6 for economic growth emphasis, 2 for leaving policies unchanged."
012d4b14-15fa-4852-a2e4-85c71aedafa2,2025-09-16 13:52:50.528914+00:00,openai,gpt-3.5-turbo,0,3347,212,fem,I prioritize adaptation policies and resilience over moderate or dramatic CO2 cuts.
63a715d7-3340-4dc5-83c7-f845987e0e6a,2025-09-16 13:52:55.480876+00:00,openai,gpt-3.5-turbo,0,3347,225,fem,"3 supports drastic CO2 cuts for climate action, prioritizing resilience and adaptation over economic growth (1, 5, 6)."
d1a1a2e5-06f9-404d-a06d-25d065e81af4,2025-09-16 13:53:01.557830+00:00,openai,gpt-3.5-turbo,0,3347,245,fem,"1 supports drastic CO2 cuts, 2 prioritizes adaptation, 3 opposes growth over climate, 4 focuses on individual actions, 5 supports moderate CO2 cuts, 6 emphasizes resilience development, 7 maintains current policies."
889aa9cc-45af-46e3-9138-258752de2f8c,2025-09-16 13:58:15.215696+00:00,openai,gpt-3.5-turbo,0,3362,214,fun,I prioritize adaptation policies and emergency response over CO2 emission cuts for climate change.
403a03fb-402c-49a2-a4d8-56068133960d,2025-09-16 13:58:21.459333+00:00,openai,gpt-3.5-turbo,0,3362,215,fun,I support policies that prioritize individual actions and moderate CO2 cuts over drastic emission reductions.
aa447837-2f17-496f-9379-aae52e54478c,2025-09-16 13:58:27.463443+00:00,openai,gpt-3.5-turbo,0,3362,214,fun,I support policies focusing on adaptation and resilience over drastic emission cuts for climate change.
47d71713-6293-4aba-a55e-5a83282f74d0,2025-09-16 13:58:32.415142+00:00,openai,gpt-3.5-turbo,0,3362,212,fun,I support policies that prioritize individual actions and adaptation over drastic emissions cuts.
178dc1f2-f91a-497e-b0d9-a1c1d4e85957,2025-09-16 14:03:24.394875+00:00,openai,gpt-3.5-turbo,0,3356,209,lib,I prioritize individual actions and adaptation over drastic government interventions.
9061da2e-3184-4eb7-a23c-0e0b46e0d87f,2025-09-16 14:03:29.124364+00:00,openai,gpt-3.5-turbo,0,3356,212,lib,I prioritize individual actions and innovation over government intervention in addressing climate change.
9576fc97-4f54-4eb9-950c-f69086f9f077,2025-09-16 14:03:35.009944+00:00,openai,gpt-3.5-turbo,0,3356,215,lib,I support policies that prioritize individual actions and moderate CO2 cuts over drastic emission reductions.
d86e3f21-3d9a-459f-a029-17f30c63feac,2025-09-16 14:03:41.777438+00:00,openai,gpt-3.5-turbo,0,3356,244,lib,"6 prioritizes individual action, 4 balances growth and climate, 7 is moderate emission cut, 3 is drastic emission cut, 5 focuses on adaptation, 2 maintains current policy, 1 focuses on technological resilience."
8e4c75f0-a9d0-455a-a8fb-2f86e5732c2c,2025-09-16 14:03:46.643719+00:00,openai,gpt-3.5-turbo,0,3356,209,lib,I prioritize individual action and market solutions over government intervention.
60277343-6b44-4c8c-bcab-11657d88cd1b,2025-09-16 14:24:47.708598+00:00,openai,gpt-3.5-turbo,0,3350,210,fas,I support policies that prioritize economic growth over climate change measures.
d2a9d7ee-d8b6-47b2-b4e4-9f8a8506ae49,2025-09-16 14:24:57.104970+00:00,openai,gpt-3.5-turbo,0,3350,239,fas,"4 prioritizes economic growth over climate change, 7 moderate CO2 cut, 3 dramatic CO2 cut, 5 focuses on adaptation, 6 targets individual actions, 2 leaves policies unchanged."
b1f455fe-c633-4e19-96b7-8d08579d1e34,2025-09-16 14:25:26.267568+00:00,openai,gpt-3.5-turbo,0,3362,213,fun,I support policies that prioritize economic growth and individual actions over drastic emissions cuts.
