cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,"C1. Climate variation is normal, so why should this be a problem?",C2. I think it is safe to say climate change is here.,C3. Biodiversity is at risk due to the use of pesticides and monoculture farming,C4. Climate warming will ultimately benefit food production globally as plants better growth in higher temperature,C5. Extreme weather disasters affect global food availability,C6. Food waste is a major environmental issue,C7. Food waste is an important social issue (e.g. hunger in the world),C8. Intensive animal farming and monocultural plantation guarantees food supply,C9. Banning pesticides might help the local biodiversity but decreases our food production capacity and autonomy,C10. Animal antibiotical resistance will be the source of the next global pandemic,C11. Food thrown away is natural and biodegradable and thus not an issue for the environment,C12. The government should ensure that farmers are paid fair prices for their produce to secure higher incomes for those working in agriculture,"C13. The government should apply costum duties on imported products that can be produced in Switzerland (e.g., cheese, honey, apples, beef)",C14. Switzerland already has some of the toughest regulations about protecting our environment and agriculture,C15. Strong regulation of food products will eventually damage our economic relationship with other countries,"C16. Food that is NOT environmentally-sustainable, healthy and fairly-produced should be clearly labelled","C17. In Switzerland, packaging waste is a greater environmental issue than food thrown away","C18. Products that employ products that damage the environment, such as palm oil, should be taxed in a similar fashion to tobacco products",C19. Subsidies should only be given to farmers that do not use pesticides or antibiotics,"C20. If Switzerland implements strong regulations on importing environmentally-sustainable and fairly-produced food, we would either have to step out of our international trade agreements or have to renegotiate most of them","C21. To give subsidies only to farmers who do not use pesticides is an ""extreme"" approach that would mean falling crop yields and higher food prices",C22. Restaurants in schools or retirement homes should only offer vegetarian menus.,C23. We should introduce taxes to prevent food waste,"C24. Farmers should be encouraged to practice ecologically sustainable agriculture, such as permaculture.","C25. I am happy to buy fairtrade products, like chocolate or coffee, even if they are of lower quality","C26. I am happy to change my nutrition habits, as use leftovers in future meals, if this helps to prevent food waste",C27. I am happy to pay a higher price for local or organic food products,"C28. Eating sustainably is too expensive, and only wealthy people can afford it",C29. It is essential to always have fresh products available to be prepared for any situation (e.g. unexpected guests),C30. I don't care where the product I am buying comes from.
5a71d1a5-4313-4eff-93f5-8c0a7c60a4a5,2025-09-16 13:35:48.712739+00:00,openai,gpt-3.5-turbo,0,3128,197,ana,1,7,7,1,7,7,7,1,1,7,1,7,7,1,1,7,1,7,7,1,1,7,7,7,7,7,7,1,1,1
f2a68326-21e9-4bd8-880b-bf610b696fb8,2025-09-16 13:35:54.662819+00:00,openai,gpt-3.5-turbo,0,3128,194,ana,1,7,7,1,7,7,7,1,1,7,1,7,1,1,1,7,1,7,1,1,1,7,7,7,1,7,7,1,1,1
d999014d-696d-4c1b-a9af-8a1497681c03,2025-09-16 13:36:00.539844+00:00,openai,gpt-3.5-turbo,0,3128,206,ana,1,7,7,1,7,7,7,1,1,7,1,7,1,7,1,7,1,7,7,7,1,7,7,7,7,7,7,1,1,1
83a5c3ce-ae52-46d6-a533-4026fb047f74,2025-09-16 13:36:08.261002+00:00,openai,gpt-3.5-turbo,0,3128,193,ana,1,7,7,1,7,7,7,1,1,7,1,7,1,1,1,7,1,7,1,7,1,7,7,7,7,7,7,1,7,1
667e705d-9e61-4029-92e9-f6439747e413,2025-09-16 13:36:13.616231+00:00,openai,gpt-3.5-turbo,0,3128,194,ana,1,7,7,1,7,7,7,1,1,7,1,7,6,2,7,7,7,7,7,7,1,1,7,7,6,7,7,1,1,1
06b3eb0f-cea6-41e1-abb2-3c53009c00d5,2025-09-16 13:40:59.545700+00:00,openai,gpt-3.5-turbo,0,3134,190,con,2,2,6,2,4,6,4,6,3,3,1,5,3,5,2,4,2,4,5,2,3,1,1,6,3,1,4,2,1,1
07dd3374-0a4d-47de-b1e1-ca21e9a5eb18,2025-09-16 13:41:04.146431+00:00,openai,gpt-3.5-turbo,0,3134,192,con,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1
458db56b-c669-41da-b66d-caea86b9a893,2025-09-16 13:41:08.705778+00:00,openai,gpt-3.5-turbo,0,3134,191,con,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,3,1,2,2,2,2,1
103fb7c9-bf30-4654-9e72-24592a77b492,2025-09-16 13:41:13.438062+00:00,openai,gpt-3.5-turbo,0,3134,197,con,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1
5e0cfc75-a7e8-407b-97c8-001b83a73e7f,2025-09-16 13:41:18.797097+00:00,openai,gpt-3.5-turbo,0,3134,194,con,2,4,4,3,4,5,4,5,4,4,2,6,6,5,3,5,6,5,4,3,4,2,2,5,4,4,5,4,4,2
f6bc7140-c21c-4a38-9eaa-d91d5469d72a,2025-09-16 13:46:15.249617+00:00,openai,gpt-3.5-turbo,0,3128,194,eco,1,7,7,1,7,7,7,1,1,7,1,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,1,1,1
5eb73f83-af5a-40fb-8d82-eb74c059dfe1,2025-09-16 13:46:20.791815+00:00,openai,gpt-3.5-turbo,0,3128,213,eco,1,7,7,1,7,7,6,1,2,7,1,7,4,6,2,6,5,7,4,5,2,7,6,7,5,6,6,2,4,1
874510f5-339c-48a4-8e99-9a14480b7ee9,2025-09-16 13:46:27.128303+00:00,openai,gpt-3.5-turbo,0,3128,193,eco,1,7,7,1,7,7,7,1,4,7,1,7,4,7,7,7,4,7,7,7,4,7,7,7,7,7,7,1,1,1
fbcaa01f-af66-42ef-927c-0a969f7d6a13,2025-09-16 13:46:33.150201+00:00,openai,gpt-3.5-turbo,0,3128,218,eco,1,7,7,1,7,7,6,1,3,7,1,7,6,6,6,7,6,7,3,6,3,6,6,7,6,6,6,1,2,1
a9d3998c-c93c-47dc-8beb-a7d652fafe86,2025-09-16 13:46:38.513149+00:00,openai,gpt-3.5-turbo,0,3128,191,eco,1,7,7,1,7,7,7,1,4,7,2,6,6,6,4,7,6,7,6,5,4,6,6,7,5,6,6,3,2,1
d17efc07-fe41-44bc-82f1-ea0dc250fda2,2025-09-16 13:51:20.732370+00:00,openai,gpt-3.5-turbo,0,3125,195,fas,1,1,1,7,7,7,1,7,7,7,1,1,1,1,7,1,1,1,7,1,7,1,1,7,1,1,7,1,1,1
cb189796-58e8-4645-aefa-ee874cb3138e,2025-09-16 13:51:25.429741+00:00,openai,gpt-3.5-turbo,0,3125,191,fas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8d00222f-f938-4bff-95ce-2986a1383a60,2025-09-16 13:51:29.994286+00:00,openai,gpt-3.5-turbo,0,3125,189,fas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41d9a62a-2b36-4b22-97a5-c81f90b6aa9b,2025-09-16 13:51:35.636846+00:00,openai,gpt-3.5-turbo,0,3125,192,fas,1,1,1,1,7,1,1,7,1,1,1,1,7,1,7,1,1,1,1,7,1,1,1,1,1,1,1,1,7,1
93df8c64-43de-434d-ab14-c33e9b406c5f,2025-09-16 13:51:39.722434+00:00,openai,gpt-3.5-turbo,0,3125,197,fas,1,7,7,1,1,7,7,7,7,7,1,7,7,1,7,7,7,7,7,7,7,7,1,7,1,7,1,1,1,1
bbac7a30-001a-4f81-9fb8-c3434c3a77ef,2025-09-16 13:56:47.163402+00:00,openai,gpt-3.5-turbo,0,3122,194,fem,1,7,7,1,7,7,7,1,1,7,1,7,7,1,7,7,1,7,7,7,1,7,7,7,7,7,7,1,1,1
